time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
5.8039,0.0000,0.0000,0.0000,0.0000
5.8239,0.0000,0.0000,0.0000,0.0000
5.8439,0.0000,0.0000,0.0000,0.0000
5.8639,0.0000,0.0000,0.0000,0.0000
5.8838,0.0000,0.0000,0.0000,0.0000
5.9038,0.0000,0.0000,0.0000,0.0000
5.9238,0.0000,0.0000,0.0000,0.0000
5.9437,0.0000,0.0000,0.0000,0.0000
5.9637,0.0000,0.0000,0.0000,0.0000
5.9832,0.0000,0.0000,0.0000,0.0000
6.0037,0.0000,0.0000,0.0000,0.0000
6.0238,0.0000,0.0000,0.0000,0.0000
6.0432,0.0000,0.0000,0.0000,0.0000
6.0638,0.0000,0.0000,0.0000,0.0000
6.0832,0.0000,0.0000,0.0000,0.0000
6.1039,0.0000,0.0000,0.0000,0.0000
6.1238,0.0000,0.0000,0.0000,0.0000
6.1440,0.0000,0.0000,0.0000,0.0000
6.1641,0.0000,0.0000,0.0000,0.0000
6.1837,0.0000,0.0000,0.0000,0.0000
6.2037,0.0000,0.0000,0.0000,0.0000
6.2235,0.0000,0.0000,0.0000,0.0000
6.2437,0.0000,0.0000,0.0000,0.0000
6.2634,0.0000,0.0000,0.0000,0.0000
6.2834,0.0000,0.0000,0.0000,0.0000
6.3039,0.0000,0.0000,0.0000,0.0000
6.3238,0.0000,0.0000,0.0000,0.0000
6.3432,0.0000,0.0000,0.0000,0.0000
6.3635,0.0000,0.0000,0.0000,0.0000
6.3832,0.0000,0.0000,0.0000,0.0000
6.4034,0.0000,0.0000,0.0000,0.0000
6.4237,0.0000,0.0000,0.0000,0.0000
6.4436,0.0000,0.0000,0.0000,0.0000
6.4632,0.0000,0.0000,0.0000,0.0000
6.4834,0.0000,0.0000,0.0000,0.0000
6.5037,0.0000,0.0000,0.0000,0.0000
6.5239,0.0000,0.0000,0.0000,0.0000
6.5437,0.0000,0.0000,0.0000,0.0000
6.5639,0.0000,0.0000,0.0000,0.0000
6.5834,0.0000,0.0000,0.0000,0.0000
6.6033,0.0000,0.0000,0.0000,0.0000
6.6233,0.0000,0.0000,0.0000,0.0000
6.6434,0.0000,0.0000,0.0000,0.0000
6.6633,0.0000,0.0000,0.0000,0.0000
6.6833,0.0000,0.0000,0.0000,0.0000
6.7033,0.0000,0.0000,0.0000,0.0000
6.7234,0.0000,0.0000,0.0000,0.0000
6.7435,0.0000,0.0000,0.0000,0.0000
6.7636,0.0000,0.0000,0.0000,0.0000
6.7834,0.0000,0.0000,0.0000,0.0000
6.8033,0.0000,0.0000,0.0000,0.0000
6.8235,0.0000,0.0000,0.0000,0.0000
6.8436,0.0000,0.0000,0.0000,0.0000
6.8634,0.0000,0.0000,0.0000,0.0000
6.8834,0.0000,0.0000,0.0000,0.0000
6.9034,0.0000,0.0000,0.0000,0.0000
6.9233,0.0000,0.0000,0.0000,0.0000
6.9434,0.0000,0.0000,0.0000,0.0000
6.9635,0.0000,0.0000,0.0000,0.0000
6.9836,0.0000,0.0000,0.0000,0.0000
7.0037,0.0000,0.0000,0.0000,0.0000
7.0233,0.0000,0.0000,0.0000,0.0000
7.0434,0.0000,0.0000,0.0000,0.0000
7.0634,0.0000,0.0000,0.0000,0.0000
7.0834,0.0000,0.0000,0.0000,0.0000
7.1033,0.0000,0.0000,0.0000,0.0000
7.1236,0.0000,0.0000,0.0000,0.0000
7.1435,0.0000,0.0000,0.0000,0.0000
7.1634,0.0000,0.0000,0.0000,0.0000
7.1838,0.0000,0.0000,0.0000,0.0000
7.2032,0.0000,0.0000,0.0000,0.0000
7.2234,0.0000,0.0000,0.0000,0.0000
7.2433,0.0000,0.0000,0.0000,0.0000
7.2634,0.0000,0.0000,0.0000,0.0000
7.2833,0.0000,0.0000,0.0000,0.0000
7.3034,0.0000,0.0000,0.0000,0.0000
7.3233,0.0000,0.0000,0.0000,0.0000
7.3435,0.0000,0.0000,0.0000,0.0000
7.3634,0.0000,0.0000,0.0000,0.0000
7.3834,0.0000,0.0000,0.0000,0.0000
7.4034,0.0000,0.0000,0.0000,0.0000
7.4233,0.0000,0.0000,0.0000,0.0000
7.4433,0.0000,0.0000,0.0000,0.0000
7.4632,0.0000,0.0000,0.0000,0.0000
7.4835,0.0000,0.0000,0.0000,0.0000
7.5037,0.0000,0.0000,0.0000,0.0000
7.5235,0.0000,0.0000,0.0000,0.0000
7.5436,0.0000,0.0000,0.0000,0.0000
7.5642,0.0000,0.0000,0.0000,0.0000
7.5835,0.0000,0.0000,0.0000,0.0000
7.6035,0.0000,0.0000,0.0000,0.0000
7.6234,0.0000,0.0000,0.0000,0.0000
7.6433,0.0000,0.0000,0.0000,0.0000
7.6640,0.0000,0.0000,0.0000,0.0000
7.6837,0.0000,0.0000,0.0000,0.0000
7.7035,0.0000,0.0000,0.0000,0.0000
7.7239,0.0000,0.0000,0.0000,0.0000
7.7439,0.0000,0.0000,0.0000,0.0000
7.7640,0.0000,0.0000,0.0000,0.0000
7.7835,0.0000,0.0000,0.0000,0.0000
7.8032,0.0000,0.0000,0.0000,0.0000
7.8237,0.0000,0.0000,0.0000,0.0000
7.8436,0.0000,0.0000,0.0000,0.0000
7.8634,0.0000,0.0000,0.0000,0.0000
7.8835,0.0000,0.0000,0.0000,0.0000
7.9037,0.0000,0.0000,0.0000,0.0000
7.9239,0.0000,0.0000,0.0000,0.0000
7.9435,0.0000,0.0000,0.0000,0.0000
7.9638,0.0000,0.0000,0.0000,0.0000
7.9832,0.0000,0.0000,0.0000,0.0000
8.0033,0.0000,0.0000,0.0000,0.0000
8.0235,0.0000,0.0000,0.0000,0.0000
8.0437,0.0000,0.0000,0.0000,0.0000
8.0640,0.0000,0.0000,0.0000,0.0000
8.0835,0.0000,0.0000,0.0000,0.0000
8.1036,0.0000,0.0000,0.0000,0.0000
8.1237,0.0000,0.0000,0.0000,0.0000
8.1433,0.0000,0.0000,0.0000,0.0000
8.1634,0.0000,0.0000,0.0000,0.0000
8.1838,0.0000,0.0000,0.0000,0.0000
8.2040,0.0000,0.0000,0.0000,0.0000
8.2234,0.0000,0.0000,0.0000,0.0000
8.2437,0.0000,0.0000,0.0000,0.0000
8.2638,0.0000,0.0000,0.0000,0.0000
8.2839,0.0000,0.0000,0.0000,0.0000
8.3037,0.0000,0.0000,0.0000,0.0000
8.3236,0.0000,0.0000,0.0000,0.0000
8.3432,0.0000,0.0000,0.0000,0.0000
8.3637,0.0000,0.0000,0.0000,0.0000
8.3836,0.0000,0.0000,0.0000,0.0000
8.4039,0.0000,0.0000,0.0000,0.0000
8.4240,0.0000,0.0000,0.0000,0.0000
8.4436,0.0000,0.0000,0.0000,0.0000
8.4639,0.0000,0.0000,0.0000,0.0000
8.4839,0.0000,0.0000,0.0000,0.0000
8.5036,0.0000,0.0000,0.0000,0.0000
8.5237,0.0000,0.0000,0.0000,0.0000
8.5439,0.0000,0.0000,0.0000,0.0000
8.5640,0.0000,0.0000,0.0000,0.0000
8.5836,0.0000,0.0000,0.0000,0.0000
8.6034,0.0000,0.0000,0.0000,0.0000
8.6236,0.0000,0.0000,0.0000,0.0000
8.6432,0.0000,0.0000,0.0000,0.0000
8.6633,0.0000,0.0000,0.0000,0.0000
8.6834,0.0000,0.0000,0.0000,0.0000
8.7034,0.0000,0.0000,0.0000,0.0000
8.7234,0.0000,0.0000,0.0000,0.0000
8.7434,0.0000,0.0000,0.0000,0.0000
8.7634,0.0000,0.0000,0.0000,0.0000
8.7834,0.0000,0.0000,0.0000,0.0000
8.8032,0.0000,0.0000,0.0000,0.0000
8.8232,0.0000,0.0000,0.0000,0.0000
8.8434,0.0000,0.0000,0.0000,0.0000
8.8634,0.0000,0.0000,0.0000,0.0000
8.8834,0.0000,0.0000,0.0000,0.0000
8.9034,0.0000,0.0000,0.0000,0.0000
8.9234,0.0000,0.0000,0.0000,0.0000
8.9434,0.0000,0.0000,0.0000,0.0000
8.9634,0.0000,0.0000,0.0000,0.0000
8.9834,0.0000,0.0000,0.0000,0.0000
9.0032,0.0000,0.0000,0.0000,0.0000
9.0234,0.0000,0.0000,0.0000,0.0000
9.0432,0.0000,0.0000,0.0000,0.0000
9.0634,0.0000,0.0000,0.0000,0.0000
9.0834,0.0000,0.0000,0.0000,0.0000
9.1039,0.0000,0.0000,0.0000,0.0000
9.1238,0.0000,0.0000,0.0000,0.0000
9.1437,0.0000,0.0000,0.0000,0.0000
9.1632,0.0000,0.0000,0.0000,0.0000
9.1839,0.0000,0.0000,0.0000,0.0000
9.2039,0.0000,0.0000,0.0000,0.0000
9.2234,0.0000,0.0000,0.0000,0.0000
9.2439,0.0000,0.0000,0.0000,0.0000
9.2639,0.0000,0.0000,0.0000,0.0000
9.2837,0.0000,0.0000,0.0000,0.0000
9.3036,0.0000,0.0000,0.0000,0.0000
9.3235,0.0000,0.0000,0.0000,0.0000
9.3439,0.0000,0.0000,0.0000,0.0000
9.3639,0.0000,0.0000,0.0000,0.0000
9.3840,0.0000,0.0000,0.0000,0.0000
9.4039,0.0000,0.0000,0.0000,0.0000
9.4240,0.0000,0.0000,0.0000,0.0000
9.4437,0.0000,0.0000,0.0000,0.0000
9.4638,0.0000,0.0000,0.0000,0.0000
9.4839,0.0000,0.0000,0.0000,0.0000
9.5037,0.0000,0.0000,0.0000,0.0000
9.5239,0.0000,0.0000,0.0000,0.0000
9.5437,0.0000,0.0000,0.0000,0.0000
9.5639,0.0000,0.0000,0.0000,0.0000
9.5838,0.0000,0.0000,0.0000,0.0000
9.6039,0.0000,0.0000,0.0000,0.0000
9.6239,0.0000,0.0000,0.0000,0.0000
9.6436,0.0000,0.0000,0.0000,0.0000
9.6637,0.0000,0.0000,0.0000,0.0000
9.6839,0.0000,0.0000,0.0000,0.0000
9.7039,0.0000,0.0000,0.0000,0.0000
9.7239,0.0000,0.0000,0.0000,0.0000
9.7438,0.0000,0.0000,0.0000,0.0000
9.7639,0.0000,0.0000,0.0000,0.0000
9.7839,0.0000,0.0000,0.0000,0.0000
9.8037,0.0000,0.0000,0.0000,0.0000
9.8232,0.0000,0.0000,0.0000,0.0000
9.8438,0.0000,0.0000,0.0000,0.0000
9.8637,0.0000,0.0000,0.0000,0.0000
9.8838,0.0000,0.0000,0.0000,0.0000
9.9036,0.0000,0.0000,0.0000,0.0000
9.9238,0.0000,0.0000,0.0000,0.0000
9.9439,0.0000,0.0000,0.0000,0.0000
9.9639,0.0000,0.0000,0.0000,0.0000
9.9832,0.0000,0.0000,0.0000,0.0000
10.0038,0.0000,0.0000,0.0000,0.0000
10.0238,0.0000,0.0000,0.0000,0.0000
10.0440,0.0000,0.0000,0.0000,0.0000
10.0638,0.0000,0.0000,0.0000,0.0000
10.0833,0.0000,0.0000,0.0000,0.0000
