time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
7.3433,0.0000,0.0000,0.0000,0.0000
7.3633,0.0000,0.0000,0.0000,0.0000
7.3832,0.0000,0.0000,0.0000,0.0000
7.4040,0.0000,0.0000,0.0000,0.0000
7.4233,0.0000,0.0000,0.0000,0.0000
7.4437,0.0000,0.0000,0.0000,0.0000
7.4633,0.0000,0.0000,0.0000,0.0000
7.4832,0.0000,0.0000,0.0000,0.0000
7.5034,0.0000,0.0000,0.0000,0.0000
7.5234,0.0000,0.0000,0.0000,0.0000
7.5433,0.0000,0.0000,0.0000,0.0000
7.5637,0.0000,0.0000,0.0000,0.0000
7.5833,0.0000,0.0000,0.0000,0.0000
7.6035,0.0000,0.0000,0.0000,0.0000
7.6236,0.0000,0.0000,0.0000,0.0000
7.6436,0.0000,0.0000,0.0000,0.0000
7.6633,0.0000,0.0000,0.0000,0.0000
7.6839,0.0000,0.0000,0.0000,0.0000
7.7033,0.0000,0.0000,0.0000,0.0000
7.7236,0.0000,0.0000,0.0000,0.0000
7.7433,0.0000,0.0000,0.0000,0.0000
7.7629,0.0000,0.0000,0.0000,0.0000
7.7834,0.0000,0.0000,0.0000,0.0000
7.8035,0.0000,0.0000,0.0000,0.0000
7.8235,0.0000,0.0000,0.0000,0.0000
7.8433,0.0000,0.0000,0.0000,0.0000
7.8633,0.0000,0.0000,0.0000,0.0000
7.8832,0.0000,0.0000,0.0000,0.0000
7.9030,0.0000,0.0000,0.0000,0.0000
7.9230,0.0000,0.0000,0.0000,0.0000
7.9430,0.0000,0.0000,0.0000,0.0000
7.9631,0.0000,0.0000,0.0000,0.0000
7.9830,0.0000,0.0000,0.0000,0.0000
8.0030,0.0000,0.0000,0.0000,0.0000
8.0230,0.0000,0.0000,0.0000,0.0000
8.0430,0.0000,0.0000,0.0000,0.0000
8.0630,0.0000,0.0000,0.0000,0.0000
8.0829,0.0000,0.0000,0.0000,0.0000
8.1029,0.0000,0.0000,0.0000,0.0000
8.1229,0.0000,0.0000,0.0000,0.0000
8.1430,0.0000,0.0000,0.0000,0.0000
8.1630,0.0000,0.0000,0.0000,0.0000
8.1830,0.0000,0.0000,0.0000,0.0000
8.2031,0.0000,0.0000,0.0000,0.0000
8.2241,0.0000,0.0000,0.0000,0.0000
8.2433,0.0000,0.0000,0.0000,0.0000
8.2632,0.0000,0.0000,0.0000,0.0000
8.2833,0.0000,0.0000,0.0000,0.0000
8.3037,0.0000,0.0000,0.0000,0.0000
8.3235,0.0000,0.0000,0.0000,0.0000
8.3436,0.0000,0.0000,0.0000,0.0000
8.3634,0.0000,0.0000,0.0000,0.0000
8.3832,0.0000,0.0000,0.0000,0.0000
8.4038,0.0000,0.0000,0.0000,0.0000
8.4234,0.0000,0.0000,0.0000,0.0000
8.4435,0.0000,0.0000,0.0000,0.0000
8.4633,0.0000,0.0000,0.0000,0.0000
